Date,Open,High,Low,Close,Adj Close,Volume
2/27/2023,71.959999,72.389999,71.519997,71.779999,69.353394,3049500
2/28/2023,72.080002,72.300003,71.699997,71.730003,69.305084,3567000
3/1/2023,71.510002,72.720001,71.160004,71.269997,68.860634,4878200
3/2/2023,70.959999,70.980003,68.690002,69.389999,67.044197,6886300
3/3/2023,69.739998,70.599998,69.260002,70.330002,67.952415,4587400
3/6/2023,70.279999,70.660004,69.400002,69.690002,67.334053,3934100
3/7/2023,69.68,70.110001,68.68,69.230003,66.88961,4891200
3/8/2023,69.230003,69.540001,66.57,67.5,65.218086,5887800
3/9/2023,67.550003,67.800003,64.309998,64.669998,62.483753,7451200
3/10/2023,63.669998,64.059998,62.119999,62.380001,60.271172,9989700
3/13/2023,60,60.650002,58.439999,58.959999,56.966789,10247300
3/14/2023,60.939999,61.27,58.450001,59.07,57.073071,10939900
3/15/2023,56.560001,57.549999,55.389999,56.299999,54.396713,9897600
3/16/2023,55.849998,57.869999,54.52,57.689999,55.739719,7764300
3/17/2023,57.07,57.360001,54.740002,54.869999,53.015053,13077500
3/20/2023,55.209999,57.57,55.209999,56.98,55.053726,9909800
3/21/2023,58.560001,59.049999,58.27,58.529999,56.551323,8011300
3/22/2023,58.450001,58.869999,56.009998,56.110001,54.213131,5599500
3/23/2023,56.119999,56.540001,54.099998,54.299999,52.464325,5849700
3/24/2023,53.09,54.369999,52.830002,54.349998,52.51263,6625300
3/27/2023,55.59,56.169998,54.580002,55.849998,53.961922,5466400
3/28/2023,55.73,56.009998,54.950001,55.43,53.556122,5199300
3/29/2023,56.380001,56.52,55.740002,56.490002,54.580292,4827800
3/30/2023,57.110001,57.849998,56.790001,57.049999,55.121357,4868500
3/31/2023,57.529999,57.990002,57.400002,57.939999,55.981274,6143500
4/3/2023,58.27,58.830002,57.830002,57.970001,56.010254,4840000
4/4/2023,58.700001,58.77,56.73,57.439999,55.498177,5373800
4/5/2023,56.900002,58.759998,56.849998,58.66,56.676933,5258100
4/6/2023,59,59.400002,58.779999,59.07,57.073071,4250700
4/10/2023,58.919998,59.75,58.91,59.48,57.469204,2913300
4/11/2023,59.599998,60.529999,59.200001,60.119999,58.087574,4326100
4/12/2023,60.34,61,59.709999,60.009998,57.981289,4242800
4/13/2023,59.849998,59.919998,59.220001,59.779999,57.759068,4443300
4/14/2023,60.419998,60.900002,60.049999,60.619999,58.570667,4332100
4/17/2023,60.200001,61.549999,59.880001,61.540001,59.459568,3841800
4/18/2023,61.77,61.810001,61.259998,61.310001,59.237347,4018400
4/19/2023,61.419998,62,61.18,61.810001,59.72044,5445500
4/20/2023,61.470001,61.68,60.66,60.810001,58.75425,4059200
4/21/2023,60.610001,60.700001,59.720001,60.169998,58.13588,3897900
4/24/2023,60.049999,60.459999,59.990002,60.41,58.367767,4816500
4/25/2023,59.790001,59.790001,58.860001,59.209999,57.208336,3867700
4/26/2023,59.049999,59.84,58.5,58.919998,56.928139,4378500
4/27/2023,59.009998,60.419998,59.009998,60.310001,58.271152,6748300
4/28/2023,60.07,61.470001,59.860001,61.330002,59.256668,4721700
5/1/2023,60.950001,61.799999,60.889999,61.259998,59.18903,4704700
5/2/2023,60.669998,60.830002,58.34,59.43,57.420898,4774300
5/3/2023,59.68,60.599998,58.66,58.709999,56.725239,6285400
5/4/2023,58.060001,58.139999,53.189999,54.110001,52.280746,12380300
5/5/2023,55.02,55.77,54.52,54.66,52.812157,6799600
5/8/2023,54.330002,54.84,53.540001,53.689999,52.373192,5420000
5/9/2023,53,53.130001,52.450001,52.790001,51.495266,7741400
5/10/2023,52.939999,53.07,51.349998,51.82,50.549057,9041900
5/11/2023,51.310001,51.48,50.790001,51.23,49.973526,6096600
5/12/2023,51.259998,51.34,49.200001,50.220001,48.988297,12674800
5/15/2023,50.009998,50.740002,49.77,50.48,49.24192,10654300
5/16/2023,50.540001,50.540001,48.950001,49.119999,47.915276,10426800
5/17/2023,49.57,51.790001,49.43,51.700001,50.432003,6853400
5/18/2023,51.689999,51.939999,51.139999,51.880001,50.60759,5315900
5/19/2023,52.25,52.400002,51.369999,51.580002,50.314945,5965100
5/22/2023,51.619999,52.450001,51.290001,52.369999,51.085564,4044300
5/23/2023,52.43,52.880001,51.82,51.84,50.568565,4350100
5/24/2023,51.529999,51.639999,50.110001,50.25,49.017563,5656200
5/25/2023,53.07,53.07,51.580002,52.77,51.475758,9299300
5/26/2023,52.700001,53.049999,51.799999,51.810001,50.539303,5274300
5/30/2023,52.279999,52.279999,51.139999,51.650002,50.383224,4277400
5/31/2023,50.950001,51.099998,49.380001,49.549999,48.334732,8296800
6/1/2023,49.77,50.75,49.549999,50.380001,49.144375,4951400
6/2/2023,51.23,53.380001,50.830002,52.970001,51.670853,6943200
6/5/2023,53.209999,53.209999,52.209999,52.650002,51.3587,5527200
6/6/2023,52.73,53.830002,52.59,53.400002,52.090305,4235100
6/7/2023,53.450001,55.07,53.279999,54.849998,53.504738,6209700
6/8/2023,54.830002,55.02,53.439999,53.759998,52.441475,5200400
6/9/2023,53.860001,54.32,53.619999,53.869999,52.548775,3701400
6/12/2023,53.779999,54.5,53.470001,54.009998,52.685341,3976700
6/13/2023,54.119999,55.369999,54.049999,55.169998,53.816891,7442100
6/14/2023,55.310001,56.009998,53.82,53.939999,52.617058,4402400
6/15/2023,53.73,55.259998,53.68,55.16,53.80714,5212900
6/16/2023,55.299999,55.830002,54.779999,55.5,54.138802,10278200
6/20/2023,54.950001,55.169998,53.740002,54.52,53.182838,5981400
6/21/2023,54.48,55.139999,54.110001,54.549999,53.212101,4225000
6/22/2023,54.509998,54.509998,53.470001,53.860001,52.539024,4227900
6/23/2023,53.009998,53.799999,52.970001,53.330002,52.022022,7023000
6/26/2023,53.580002,54.450001,53.040001,54.060001,52.734119,5637900
6/27/2023,54.630001,55.259998,54.040001,54.98,53.631554,4812400
6/28/2023,54.689999,54.919998,53.919998,54.869999,53.52425,5112000
6/29/2023,55.259998,56.290001,55.18,56.18,54.802124,5015100
6/30/2023,56.5,56.889999,56.119999,56.529999,55.143536,5850600
7/3/2023,56.709999,57.810001,56.619999,57.279999,55.875145,2429100
7/5/2023,56.330002,57.099998,56.130001,56.779999,55.387405,3786900
7/6/2023,56.200001,56.889999,56.169998,56.709999,55.319122,4467000
7/7/2023,56.650002,58.02,56.630001,57.610001,56.197052,4615900
7/10/2023,57.43,58.16,57.209999,57.41,56.001953,4030200
7/11/2023,57.720001,59.330002,57.720001,59.240002,57.787075,5993300
7/12/2023,59.990002,60.209999,58.52,58.700001,57.260319,5803100
7/13/2023,58.720001,59.389999,58.580002,59.169998,57.718788,4034100
7/14/2023,59.259998,59.330002,57.700001,58.16,56.733562,3357900
7/17/2023,58.02,59.360001,57.950001,59,57.552959,2873300
7/18/2023,58.75,59.959999,58.700001,59.369999,57.913879,3308700
7/19/2023,59.279999,60.290001,59.189999,60.259998,58.782055,4294800
7/20/2023,60.709999,61.150002,60.32,60.939999,59.445377,3216800
7/21/2023,61.130001,61.34,60.529999,61.200001,59.699005,3341100
7/24/2023,61.32,62.560001,61.279999,61.98,60.459869,2891600
7/25/2023,61.900002,62.099998,61.419998,61.720001,60.206249,3158600
7/26/2023,62.009998,62.990002,61.889999,62.849998,61.308533,3073700
7/27/2023,63.09,63.34,62.32,62.32,60.791534,3852900
7/28/2023,62.950001,62.990002,62.139999,62.560001,61.02565,3802500
7/31/2023,62.740002,63.16,62.709999,62.970001,61.425591,3069000
8/1/2023,62.669998,63.02,62.400002,62.82,61.27927,4311200
8/2/2023,62.630001,63.400002,62.369999,62.75,61.210983,6407800
8/3/2023,63.529999,64.830002,62.709999,64.419998,62.840027,5455200
8/4/2023,64.540001,65.139999,63.389999,63.529999,61.971851,4204600
8/7/2023,63.389999,64.669998,63.389999,64.18,63.122578,3821300
8/8/2023,63.099998,63.689999,62.310001,63.5,62.453781,4362300
8/9/2023,63.330002,63.84,62.580002,62.630001,61.598118,2921300
8/10/2023,62.599998,63.419998,62.16,62.66,61.627621,3915000
8/11/2023,62.68,63.77,62.459999,63.650002,62.601311,2854200
8/14/2023,63.509998,63.970001,63.380001,63.57,62.522629,2764600
8/15/2023,62.849998,63.130001,61.790001,61.860001,60.840801,3677300
8/16/2023,61.77,62.419998,61.509998,61.66,60.644096,2573300
8/17/2023,62.110001,62.869999,61.73,61.84,60.821133,3764300
8/18/2023,61.32,62.580002,61.25,62.259998,61.234207,3225400
8/21/2023,62.259998,62.560001,61.450001,61.950001,60.929317,2137800
8/22/2023,61.830002,62.34,61.099998,61.32,60.309696,2524300
8/23/2023,61.360001,61.799999,61.049999,61.73,60.712944,2251400
8/24/2023,61.669998,62.91,61.459999,62.27,61.244049,2418100
8/25/2023,62.48,62.740002,61.700001,62.41,61.381737,2109500
8/28/2023,62.5,62.990002,62.330002,62.529999,61.49976,2134600
8/29/2023,62.77,63.139999,62.330002,62.849998,61.814487,2834700
8/30/2023,63.049999,63.41,62.77,62.939999,61.903008,2343500
8/31/2023,63.130001,63.490002,62.82,63.34,62.296417,4953500
9/1/2023,63.799999,64.559998,63.799999,64.300003,63.240604,3087100
9/5/2023,64.300003,64.860001,63.75,63.77,62.71933,3978900
9/6/2023,63.360001,63.869999,62.919998,63.200001,62.158726,3028200
9/7/2023,62.950001,63.5,62.5,62.77,61.735809,3155400
9/8/2023,62.720001,63.669998,62.549999,63.310001,62.266911,2821300
9/11/2023,63.669998,64.230003,63.240002,63.400002,62.355431,2188200
9/12/2023,63.529999,64.599998,63.43,63.990002,62.935711,3328300
9/13/2023,64.209999,64.440002,63.52,63.790001,62.739002,4550200
9/14/2023,65.099998,65.970001,64.730003,65.93,64.843742,4939900
9/15/2023,65.370003,66.18,65.330002,65.650002,64.568359,7679900
9/18/2023,65.650002,66.379997,65.160004,66.300003,65.207649,3644800
9/19/2023,66.5,66.82,65.900002,66.360001,65.266663,3331100
9/20/2023,66.660004,66.980003,66.07,66.089996,65.001106,4142500
9/21/2023,65.860001,65.870003,64.470001,64.690002,63.62418,4891400
9/22/2023,64.690002,65.339996,64.330002,64.419998,63.358624,2492900
9/25/2023,64.120003,65.07,64.019997,65.050003,63.978249,2335700
9/26/2023,64.550003,65.050003,63.040001,63.060001,62.02103,5531000
9/27/2023,63.18,63.369999,62.049999,62.799999,61.765312,7114600
9/28/2023,62.669998,63.330002,62.639999,62.900002,61.86367,3483700
9/29/2023,63.09,63.619999,62.709999,62.91,61.873501,3330500
10/2/2023,62.48,62.759998,61.189999,61.689999,60.673603,3259500
10/3/2023,61.09,61.299999,59.709999,60.259998,59.267159,3797500
10/4/2023,60.16,60.259998,58.990002,60,59.011448,3456700
10/5/2023,59.490002,60.450001,59.439999,60.290001,59.296669,3632300
10/6/2023,59.82,61.619999,59.57,61.32,60.309696,3938400
10/9/2023,61.029999,61.98,60.950001,61.900002,60.880146,3180900
10/10/2023,62,62.869999,62,62.18,61.155529,3089900
10/11/2023,62.529999,63.150002,62.080002,62.849998,61.814487,3143000
10/12/2023,63.099998,63.16,61.82,62.48,61.450588,2617200
